,tournament_name,round,surface_in_out,type_tournament,winner_ratio,looser_ratio,winner_surface_ratio,looser_surface_ratio,year,start_date,surface,aces_0,double_fautes_0,first_serve_0,first_serve_points_won_0,second_serve_points_won_0,break_point_faced_0,break_point_saved_0,service_games_played_0,service_games_won_0,total_services_points_won_0,total_points_won_0,weight_0,age_0,plays_0,points_0,tour_cell_0,point_dropping_0,next_best_0,ranking_0,overall_match_record_0,grand_slams_match_record_0,master1000_match_record_0,tie_break_pressure_point_0,versus_top10_pressure_point_0,finals_pressure_points_0,deciding_3rd_set_pressure_point_0,set_5_pressure_point_0,clay_environment_0,grass_environment_0,hard_environment_0,indoor_environment_0,outdoor_environment_0,afterwinning_1st_set_0,after_loosing_1st_set_0,vs_right_handers_0,vs_left_handers_0,overall_title_0,grandslams_title_0,master_1000_title_0,clay_title_0,grass_title_0,hard_title_0,indoor_title_0,outdoor_title_0,aces_1,double_fautes_1,first_serve_1,first_serve_points_won_1,second_serve_points_won_1,break_point_faced_1,break_point_saved_1,service_games_played_1,total_points_won_1,weight_1,age_1,plays_1,points_1,tour_cell_1,point_dropping_1,next_best_1,ranking_1,overall_match_record_1,grand_slams_match_record_1,master1000_match_record_1,tie_break_pressure_point_1,versus_top10_pressure_point_1,finals_pressure_points_1,deciding_3rd_set_pressure_point_1,set_5_pressure_point_1,clay_environment_1,grass_environment_1,hard_environment_1,indoor_environment_1,outdoor_environment_1,afterwinning_1st_set_1,after_loosing_1st_set_1,vs_right_handers_1,vs_left_handers_1,overall_title_1,grandslams_title_1,master_1000_title_1,clay_title_1,grass_title_1,hard_title_1,indoor_title_1,outdoor_title_1,Y
66579,Monte Carlo,2nd Round Qualifying,Outdoor Clay,1000,0.0,0.0,0.0,0.0,2014,2014-04-13,clay,59,55,64%,68%,43%,69,61%,100,73%,59%,45%,220,(1987.05.29),"Left-Handed, One-Handed Backhand",540,31,0,0,106,0.299,0.316,0.0,0.408,0.33299999999999996,0.0,0.348,0.33299999999999996,0.231,0.4,0.293,0.32299999999999995,0.28600000000000003,0.7929999999999999,0.052000000000000005,0.315,0.214,0,0,0,0,0,0,0,0,13,9,71%,69%,40%,24,63%,37,47%,185,(1981.07.14),"Right-Handed, Two-Handed Backhand",314,21,0,0,163,0.456,0.214,0.304,0.48100000000000004,0.08,0.0,0.473,0.16699999999999998,0.529,0.083,0.311,0.4,0.46299999999999997,0.777,0.175,0.457,0.43799999999999994,0,0,0,0,0,0,0,0,1
75059,London,Round of 16,Outdoor Grass,250,0.0,0.0,0.0,0.0,2012,2012-06-11,grass,16,9,67%,74%,50%,24,67%,54,85%,66%,50%,182,(1985.10.08),"Right-Handed, One-Handed Backhand",623,28,0,0,84,0.42700000000000005,0.431,0.382,0.517,0.043,0.0,0.4,0.5,0.483,0.516,0.36200000000000004,0.365,0.444,0.852,0.114,0.42,0.484,0,0,0,0,0,0,0,0,114,15,64%,76%,52%,54,54%,165,52%,183,(1980.07.19),"Right-Handed, Two-Handed Backhand",746,27,0,0,63,0.518,0.542,0.391,0.52,0.281,0.25,0.473,0.52,0.496,0.625,0.494,0.483,0.527,0.8170000000000001,0.168,0.501,0.6459999999999999,3,0,0,0,0,3,0,3,1
52828,Cincinnati,Round of 32,Outdoor Hard,1000,0.25,0.75,0.0,0.0,1997,1997-08-04,hard,173,94,59%,74%,53%,177,71%,302,83%,65%,50%,162,(1970.04.14),"Left-Handed, Unknown Backhand",622,28,0,0,78,0.501,0.43799999999999994,0.45399999999999996,0.517,0.304,0.33299999999999996,0.506,0.444,0.375,0.467,0.514,0.5660000000000001,0.46399999999999997,0.777,0.213,0.507,0.474,4,0,0,0,1,2,2,2,157,132,57%,73%,51%,195,63%,375,51%,189,(1968.01.23),"Left-Handed, One-Handed Backhand","2,261",24,0,0,13,0.623,0.612,0.563,0.539,0.366,0.37,0.562,0.519,0.578,0.652,0.632,0.6409999999999999,0.613,0.8420000000000001,0.301,0.629,0.586,10,1,1,0,0,6,4,6,0
31406,Shanghai,Round of 64,Outdoor Hard,1000,0.0,0.0,0.0,0.0,2017,2017-10-08,hard,441,130,56%,79%,51%,195,62%,445,83%,67%,52%,209,(1987.10.07),"Right-Handed, Two-Handed Backhand","2,535",23,0,0,13,0.5539999999999999,0.541,0.47,0.49200000000000005,0.256,0.526,0.48100000000000004,0.41200000000000003,0.451,0.642,0.561,0.57,0.551,0.765,0.25,0.54,0.637,10,0,0,1,1,8,1,9,61,48,60%,66%,51%,137,57%,216,49%,159,(1988.09.18),"Right-Handed, Two-Handed Backhand","1,219",27,0,0,40,0.39399999999999996,0.25,0.278,0.40299999999999997,0.222,1.0,0.42200000000000004,0.33299999999999996,0.188,0.5,0.391,0.375,0.39799999999999996,0.7240000000000001,0.135,0.39399999999999996,0.391,1,0,0,0,1,0,0,1,0
5754,Amersfoort,Round of 32,Outdoor Clay,200,0.0,0.0,0.0,0.0,2002,2002-07-15,clay,21,41,60%,60%,44%,136,50%,162,58%,54%,47%,150,(1978.12.15),"Right-Handed, Two-Handed Backhand",258,27,0,0,143,0.35,0.3,0.349,0.43799999999999994,0.038,0.0,0.402,0.5,0.41600000000000004,0.12,0.32299999999999995,0.313,0.359,0.664,0.135,0.349,0.35700000000000004,0,0,0,0,0,0,0,0,14,9,46%,63%,46%,32,53%,37,43%,169,(1976.02.19),"Right-Handed, Two-Handed Backhand",311,34,0,0,127,0.304,0.2,0.0,0.4,0.0,0.0,0.24,0.25,0.125,0.33299999999999996,0.317,0.371,0.273,0.721,0.043,0.293,0.385,0,0,0,0,0,0,0,0,0
24380,Stockholm,Round of 32,Indoor Hard,250,0.0,1.0,0.0,0.0,2019,2019-10-14,hard,153,41,63%,73%,49%,151,61%,313,81%,64%,49%,163,(1989.03.30),"Right-Handed, Two-Handed Backhand",891,28,0,0,60,0.474,0.46299999999999997,0.373,0.48100000000000004,0.132,0.3,0.506,0.6,0.51,0.41200000000000003,0.45299999999999996,0.51,0.45899999999999996,0.772,0.22699999999999998,0.46799999999999997,0.45299999999999996,3,0,0,1,0,2,2,1,20,11,70%,64%,49%,42,50%,61,48%,165,(1998.09.09),"Right-Handed, Two-Handed Backhand",763,20,90,8,74,0.46799999999999997,0.5,0.25,0.308,0.0,0.0,0.467,0.667,0.385,0.0,0.469,0.524,0.423,0.6920000000000001,0.19,0.41,0.7140000000000001,0,0,0,0,0,0,0,0,1
5274,Vienna,Round of 32,Indoor Hard,200,0.0,0.0,0.0,0.0,2005,2005-10-10,hard,65,56,51%,69%,52%,110,54%,188,73%,61%,50%,154,(1979.10.04),"Right-Handed, One-Handed Backhand",463,30,0,0,87,0.36700000000000005,0.21899999999999997,0.318,0.431,0.059000000000000004,0.0,0.414,0.25,0.373,0.071,0.4,0.375,0.366,0.71,0.11199999999999999,0.354,0.40700000000000003,0,0,0,0,0,0,0,0,159,78,57%,75%,50%,169,65%,309,50%,190,(1976.08.27),"Right-Handed, Two-Handed Backhand",940,24,0,0,31,0.643,0.629,0.5760000000000001,0.5760000000000001,0.423,0.455,0.6,0.47200000000000003,0.7020000000000001,0.46399999999999997,0.599,0.5,0.66,0.861,0.278,0.647,0.616,20,1,3,16,0,4,0,20,1
42943,Oporto,Round of 16,Outdoor Clay,200,0.5,0.5,0.5,0.5,1996,1996-06-10,clay,54,63,61%,65%,49%,193,48%,325,69%,59%,51%,187,(1972.08.24),"Right-Handed, Unknown Backhand",764,29,0,0,59,0.442,0.35100000000000003,0.381,0.506,0.182,0.0,0.397,0.385,0.509,0.0,0.365,0.29,0.46299999999999997,0.7440000000000001,0.126,0.457,0.36700000000000005,0,0,0,0,0,0,0,0,65,80,62%,60%,42%,143,54%,162,44%,200,(1972.03.16),,131,28,0,0,279,0.32899999999999996,0.0,0.5,0.275,0.0,0.0,0.267,0.6,0.4,0.0,0.14300000000000002,0.278,0.34299999999999997,0.667,0.043,0.35200000000000004,0.214,0,0,0,0,0,0,0,0,0
11792,Metz,Semi-Finals,Indoor Hard,250,1.0,0.0,1.0,0.0,2015,2015-09-21,hard,134,94,58%,67%,52%,260,53%,470,74%,61%,51%,154,(1984.12.27),"Right-Handed, Two-Handed Backhand","2,145",24,105,45,15,0.574,0.613,0.535,0.49,0.272,0.636,0.61,0.5760000000000001,0.569,0.573,0.581,0.593,0.5670000000000001,0.8640000000000001,0.268,0.578,0.542,14,0,0,5,0,9,6,8,157,100,57%,69%,50%,181,58%,307,48%,187,(1989.07.11),"Left-Handed, Two-Handed Backhand",980,30,0,0,43,0.495,0.391,0.25,0.522,0.16,0.857,0.52,0.467,0.568,0.235,0.461,0.614,0.45,0.7340000000000001,0.231,0.489,0.5429999999999999,6,0,0,4,0,2,2,4,0
75177,Tokyo,Round of 32,Outdoor Hard,500,0.0,0.0,0.0,0.0,2017,2017-10-02,hard,10,21,62%,67%,45%,50,64%,61,70%,59%,47%,176,(1993.01.27),"Right-Handed, Two-Handed Backhand",579,26,0,0,99,0.389,0.235,0.375,0.585,0.0,1.0,0.43200000000000005,0.33299999999999996,0.435,0.0,0.36700000000000005,0.133,0.423,0.696,0.14300000000000002,0.36200000000000004,0.524,1,0,0,1,0,0,0,1,111,80,58%,73%,52%,127,55%,258,51%,163,(1983.08.14),"Right-Handed, Two-Handed Backhand",704,24,0,0,71,0.418,0.32899999999999996,0.39399999999999996,0.526,0.20600000000000002,0.0,0.35,0.529,0.24,0.444,0.425,0.392,0.42200000000000004,0.746,0.115,0.39899999999999997,0.511,0,0,0,0,0,0,0,0,1
22321,Santiago,Round of 32,Outdoor Clay,200,0.0,0.0,0.0,0.0,1996,1996-11-04,clay,14,26,70%,62%,44%,67,61%,82,68%,56%,48%,165,(1973.07.11),"Left-Handed, Unknown Backhand",331,27,0,0,138,0.242,0.25,0.33299999999999996,0.3,0.0,0.0,0.385,0.5,0.24,0.0,0.33299999999999996,0.0,0.25,0.385,0.15,0.24100000000000002,0.25,0,0,0,0,0,0,0,0,18,40,73%,63%,43%,125,58%,164,50%,170,(1978.02.28),"Right-Handed, One-Handed Backhand",466,20,0,0,103,0.48700000000000004,0.4,0.452,0.479,0.37200000000000005,0.375,0.504,0.231,0.5539999999999999,0.0,0.38299999999999995,0.3,0.501,0.7829999999999999,0.203,0.478,0.5379999999999999,3,0,0,3,0,0,0,3,1
12590,Sydney,Round of 32,Outdoor Hard,200,0.6666666666666666,0.3333333333333333,1.0,0.0,2002,2002-01-07,hard,136,54,60%,74%,55%,110,55%,278,82%,66%,52%,190,(1977.11.25),"Right-Handed, Two-Handed Backhand","1,725",25,0,0,15,0.564,0.569,0.5429999999999999,0.506,0.4,0.43799999999999994,0.47100000000000003,0.522,0.5820000000000001,0.591,0.557,0.46799999999999997,0.579,0.8220000000000001,0.22699999999999998,0.552,0.629,7,0,1,4,0,3,0,7,112,69,62%,66%,46%,180,55%,273,48%,176,(1976.11.14),"Right-Handed, Two-Handed Backhand",323,24,0,0,123,0.488,0.35700000000000004,0.391,0.446,0.091,0.0,0.547,0.6920000000000001,0.61,0.182,0.436,0.278,0.508,0.7859999999999999,0.204,0.46,0.48,0,0,0,0,0,0,0,0,0
9222,Paris,Round of 64,Outdoor Clay,grandslam,0.0,1.0,0.0,0.0,2004,2004-05-24,clay,121,68,54%,71%,51%,144,64%,234,78%,62%,49%,194,(1981.09.20),"Left-Handed, One-Handed Backhand","1,185",26,0,0,25,0.521,0.568,0.46,0.542,0.28600000000000003,0.389,0.5539999999999999,0.6859999999999999,0.49,0.653,0.507,0.466,0.534,0.799,0.245,0.516,0.562,7,0,0,1,4,2,1,6,9,14,65%,70%,47%,27,44%,55,48%,193,(1974.03.04),"Right-Handed, Two-Handed Backhand",452,24,0,0,91,0.546,0.5,0.425,0.508,0.397,0.5,0.555,0.545,0.475,0.597,0.55,0.581,0.531,0.85,0.214,0.539,0.575,6,0,0,0,1,3,3,3,0
31984,Cincinnati,Round of 64,Outdoor Hard,1000,0.0,0.0,0.0,0.0,1995,1995-08-07,hard,84,73,62%,68%,50%,189,62%,305,76%,61%,50%,155,(1969.10.06),"Right-Handed, Unknown Backhand",0,0,0,0,40,0.511,0.494,0.373,0.5,0.2,0.2,0.5479999999999999,0.5329999999999999,0.35,0.611,0.503,0.515,0.509,0.86,0.146,0.515,0.495,2,0,0,0,0,2,0,2,49,23,60%,69%,49%,68,56%,118,49%,167,(1971.01.16),"Right-Handed, Unknown Backhand",0,0,0,0,13,0.623,0.64,0.606,0.581,0.38799999999999996,0.4,0.537,0.565,0.687,0.5,0.557,0.479,0.652,0.846,0.255,0.614,0.662,14,2,2,13,0,1,0,14,1
35437,Valencia,Round of 16,Indoor Hard,500,1.0,0.0,0.0,0.0,2009,2009-11-02,hard,238,70,64%,75%,51%,137,61%,338,84%,67%,49%,194,(1981.09.20),"Left-Handed, One-Handed Backhand",905,26,0,0,47,0.521,0.568,0.46,0.542,0.28600000000000003,0.389,0.5539999999999999,0.6859999999999999,0.49,0.653,0.507,0.466,0.534,0.799,0.245,0.516,0.562,7,0,0,1,4,2,1,6,153,54,63%,73%,54%,159,61%,346,51%,165,(1982.05.01),"Right-Handed, One-Handed Backhand","2,175",27,0,0,16,0.599,0.648,0.5670000000000001,0.5539999999999999,0.196,0.522,0.614,0.773,0.664,0.545,0.556,0.47600000000000003,0.619,0.879,0.27399999999999997,0.59,0.657,12,0,1,11,0,1,1,11,1
63626,Toronto,Round of 64,Outdoor Hard,1000,1.0,0.0,0.0,0.0,2002,2002-07-29,hard,81,58,61%,68%,50%,145,52%,270,74%,61%,50%,155,(1978.12.09),"Right-Handed, One-Handed Backhand","1,490",20,0,0,21,0.579,0.537,0.508,0.53,0.267,0.5,0.531,0.28600000000000003,0.6579999999999999,0.25,0.42100000000000004,0.37799999999999995,0.597,0.84,0.258,0.579,0.585,8,1,0,8,0,0,0,8,152,63,60%,73%,50%,132,51%,283,50%,190,(1976.08.13),"Right-Handed, Two-Handed Backhand","1,090",28,0,0,29,0.518,0.47200000000000003,0.504,0.527,0.196,0.41700000000000004,0.578,0.644,0.562,0.36700000000000005,0.48200000000000004,0.444,0.529,0.8140000000000001,0.255,0.524,0.47100000000000003,5,0,0,3,0,1,1,4,1
17566,New York,Round of 64,Outdoor Hard,grandslam,1.0,0.0,1.0,0.0,2008,2008-08-25,hard,162,83,61%,72%,55%,173,67%,338,83%,65%,50%,190,(1976.08.27),"Right-Handed, Two-Handed Backhand",840,24,0,0,42,0.643,0.629,0.5760000000000001,0.5760000000000001,0.423,0.455,0.6,0.47200000000000003,0.7020000000000001,0.46399999999999997,0.599,0.5,0.66,0.861,0.278,0.647,0.616,20,1,3,16,0,4,0,20,410,93,63%,77%,51%,221,67%,503,52%,205,(1985.04.17),"Right-Handed, Two-Handed Backhand","2,050",21,0,0,6,0.675,0.7290000000000001,0.611,0.583,0.33799999999999997,0.6,0.626,0.593,0.638,0.6890000000000001,0.6829999999999999,0.701,0.664,0.8809999999999999,0.33799999999999997,0.664,0.747,18,0,2,1,0,17,13,5,1
41295,Washington,Round of 16,Outdoor Hard,500,0.0,1.0,0.0,0.0,2019,2019-07-27,hard,354,230,53%,77%,43%,252,60%,427,76%,61%,49%,176,(1989.05.08),"Right-Handed, Two-Handed Backhand","1,538",33,0,0,24,0.489,0.526,0.424,0.514,0.13,0.33299999999999996,0.503,0.524,0.523,0.5,0.467,0.444,0.5,0.83,0.20800000000000002,0.489,0.491,3,0,0,3,0,0,0,3,900,67,71%,82%,57%,110,71%,544,51%,238,(1985.04.26),"Right-Handed, Two-Handed Backhand","1,770",20,0,0,19,0.615,0.629,0.6,0.607,0.27699999999999997,0.536,0.568,0.36700000000000005,0.5429999999999999,0.6709999999999999,0.625,0.518,0.633,0.8390000000000001,0.297,0.611,0.638,15,0,1,1,4,10,0,15,0
15600,Long Island,Round of 32,Outdoor Hard,200,0.0,0.0,0.0,0.0,1999,1999-08-23,hard,40,42,60%,65%,47%,120,54%,170,68%,58%,47%,167,(1977.03.08),"Right-Handed, One-Handed Backhand",875,32,0,0,49,0.424,0.434,0.33299999999999996,0.46299999999999997,0.121,0.5,0.47700000000000004,0.6,0.46399999999999997,0.294,0.379,0.20800000000000002,0.439,0.723,0.209,0.39799999999999996,0.604,3,0,0,3,0,0,0,3,127,68,58%,71%,51%,160,65%,259,51%,177,(1970.04.04),"Right-Handed, Unknown Backhand",562,18,0,0,80,0.532,0.5,0.43200000000000005,0.45899999999999996,0.295,0.308,0.5,0.444,0.578,0.615,0.518,0.414,0.5529999999999999,0.7879999999999999,0.201,0.535,0.511,4,0,0,3,1,0,0,4,1
13067,Melbourne,Round of 32,Outdoor Hard,grandslam,0.0,0.0,0.0,0.0,1993,1993-01-18,hard,57,19,56%,79%,57%,47,66%,124,87%,70%,53%,177,(1965.01.04),"Left-Handed, Unknown Backhand",0,0,0,0,158,0.5660000000000001,0.579,0.5710000000000001,0.49200000000000005,0.292,0.579,0.5479999999999999,0.621,0.526,0.59,0.602,0.603,0.545,0.79,0.212,0.569,0.541,11,0,2,1,0,7,7,4,336,145,57%,77%,49%,228,61%,441,51%,176,(1971.06.08),"Right-Handed, Unknown Backhand",0,0,0,0,64,0.43,0.318,0.444,0.478,0.375,0.0,0.51,0.16699999999999998,0.368,0.47600000000000003,0.435,0.344,0.455,0.701,0.187,0.402,0.56,0,0,0,0,0,0,0,0,0
17090,Chennai,Quarter-Finals,Outdoor Hard,200,0.0,0.0,0.0,0.0,1999,1999-04-05,hard,77,87,53%,70%,54%,210,60%,349,76%,62%,50%,159,(1976.04.10),"Right-Handed, Unknown Backhand",677,28,0,0,69,0.385,0.382,0.364,0.5489999999999999,0.1,0.0,0.395,0.429,0.302,0.44799999999999995,0.415,0.485,0.359,0.743,0.11,0.365,0.615,0,0,0,0,0,0,0,0,57,57,62%,65%,47%,172,55%,252,49%,160,(1972.03.05),"Right-Handed, Unknown Backhand",564,19,0,0,79,0.498,0.5,0.41200000000000003,0.593,0.222,0.2,0.552,0.467,0.45299999999999996,0.273,0.5329999999999999,0.521,0.48700000000000004,0.7959999999999999,0.222,0.513,0.405,1,0,0,0,0,1,0,1,0
33920,Las Vegas,1st Round Qualifying,Outdoor Hard,200,1.0,0.0,0.0,0.0,2007,2007-02-26,hard,56,56,51%,66%,48%,115,57%,159,69%,57%,48%,154,(1979.10.04),"Right-Handed, One-Handed Backhand",233,15,0,0,183,0.36700000000000005,0.21899999999999997,0.318,0.431,0.059000000000000004,0.0,0.414,0.25,0.373,0.071,0.4,0.375,0.366,0.71,0.11199999999999999,0.354,0.40700000000000003,0,0,0,0,0,0,0,0,278,77,57%,77%,51%,181,61%,398,50%,176,(1975.03.24),"Right-Handed, Two-Handed Backhand",583,17,0,0,62,0.547,0.5670000000000001,0.466,0.506,0.3,0.643,0.52,0.621,0.349,0.605,0.562,0.604,0.517,0.8370000000000001,0.235,0.5329999999999999,0.633,9,1,1,0,2,4,5,4,1
28651,London,Quarter-Finals,Outdoor Grass,200,0.0,1.0,0.0,1.0,2002,2002-06-10,grass,53,28,60%,74%,50%,61,66%,95,78%,64%,51%,176,(1978.04.13),"Right-Handed, Two-Handed Backhand",558,27,0,0,71,0.40700000000000003,0.34299999999999997,0.28600000000000003,0.43200000000000005,0.21100000000000002,0.0,0.41700000000000004,0.444,0.387,0.469,0.409,0.433,0.39799999999999996,0.6579999999999999,0.155,0.40299999999999997,0.44,0,0,0,0,0,0,0,0,91,26,55%,80%,52%,40,63%,116,51%,187,(1971.09.15),"Right-Handed, Two-Handed Backhand",875,20,0,0,39,0.608,0.65,0.5539999999999999,0.5,0.276,0.652,0.63,0.6920000000000001,0.581,0.667,0.632,0.541,0.627,0.853,0.3,0.603,0.633,15,0,2,1,1,11,4,11,0
3541,London,Round of 64,Outdoor Grass,grandslam,1.0,0.0,0.0,0.0,2010,2010-06-21,grass,126,13,70%,81%,56%,21,86%,103,97%,74%,53%,195,(1982.08.30),"Right-Handed, Two-Handed Backhand","3,665",21,0,0,8,0.742,0.7440000000000001,0.6920000000000001,0.621,0.336,0.615,0.652,0.44799999999999995,0.636,0.7959999999999999,0.755,0.726,0.746,0.9,0.345,0.733,0.8109999999999999,32,1,5,5,5,21,7,25,129,24,64%,81%,59%,38,74%,130,55%,176,(1980.05.18),"Left-Handed, One-Handed Backhand","1,575",26,0,0,23,0.45799999999999996,0.395,0.368,0.488,0.245,0.5,0.42,0.41700000000000004,0.33299999999999996,0.603,0.456,0.523,0.428,0.773,0.134,0.44799999999999995,0.5479999999999999,5,0,0,0,2,3,2,3,0
4490,Nice,Round of 32,Outdoor Clay,200,0.0,0.0,0.0,0.0,1993,1993-04-12,clay,43,26,61%,72%,47%,57,47%,122,75%,62%,51%,187,(1967.11.22),"Right-Handed, Unknown Backhand",0,0,0,0,11,0.769,0.8029999999999999,0.693,0.597,0.6509999999999999,0.636,0.657,0.6809999999999999,0.6629999999999999,0.823,0.772,0.7979999999999999,0.75,0.895,0.41100000000000003,0.762,0.804,49,6,5,0,7,16,30,19,50,94,58%,68%,44%,194,54%,277,50%,180,(1970.06.16),"Right-Handed, Unknown Backhand",0,0,0,0,133,0.444,0.389,0.273,0.52,0.111,0.4,0.309,0.5710000000000001,0.475,0.5,0.434,0.474,0.441,0.7190000000000001,0.146,0.462,0.385,2,0,0,1,0,1,0,2,0
20271,Newport,Round of 16,Outdoor Grass,250,0.0,0.0,0.0,0.0,2012,2012-07-09,grass,41,28,56%,73%,53%,61,64%,115,81%,64%,51%,170,(1981.02.24),"Right-Handed, Two-Handed Backhand",625,13,0,0,83,0.7020000000000001,0.698,0.637,0.523,0.47100000000000003,0.652,0.6409999999999999,0.561,0.632,0.759,0.7020000000000001,0.69,0.703,0.87,0.39399999999999996,0.691,0.773,30,2,2,2,8,20,4,26,12,6,61%,70%,46%,18,50%,32,49%,160,(1987.12.30),"Right-Handed, Two-Handed Backhand",448,20,0,0,128,0.336,0.348,0.348,0.34600000000000003,0.0,0.0,0.429,0.5,0.25,0.33299999999999996,0.34700000000000003,0.385,0.33,0.653,0.139,0.355,0.23800000000000002,0,0,0,0,0,0,0,0,0
23188,Kitzbuhel,Round of 32,Outdoor Clay,250,0.0,0.0,0.0,0.0,2012,2012-07-22,clay,4,7,50%,75%,42%,9,56%,14,71%,58%,45%,174,(1993.09.03),"Right-Handed, One-Handed Backhand",147,22,0,0,309,0.6509999999999999,0.706,0.578,0.529,0.415,0.615,0.627,0.5329999999999999,0.75,0.5,0.589,0.583,0.6679999999999999,0.893,0.321,0.652,0.649,16,0,1,10,1,5,2,14,27,22,54%,70%,50%,60,52%,107,50%,187,(1989.07.11),"Left-Handed, Two-Handed Backhand","1,175",24,0,0,30,0.495,0.391,0.25,0.522,0.16,0.857,0.52,0.467,0.568,0.235,0.461,0.614,0.45,0.7340000000000001,0.231,0.489,0.5429999999999999,6,0,0,4,0,2,2,4,1
29324,Atlanta,Round of 32,Outdoor Hard,200,0.0,0.0,0.0,0.0,1996,1996-07-22,hard,62,38,68%,67%,54%,157,63%,257,77%,63%,51%,190,(1975.03.22),"Right-Handed, Two-Handed Backhand",830,25,0,0,52,0.564,0.5710000000000001,0.518,0.46399999999999997,0.304,0.583,0.5920000000000001,0.5,0.564,0.5,0.581,0.526,0.5760000000000001,0.863,0.248,0.5539999999999999,0.627,7,0,0,4,0,2,1,6,124,33,61%,70%,50%,196,60%,320,50%,155,(1970.05.17),"Right-Handed, Unknown Backhand",993,26,0,0,40,0.483,0.43799999999999994,0.424,0.5,0.20600000000000002,0.28600000000000003,0.556,0.7,0.5,0.33299999999999996,0.44799999999999995,0.47700000000000004,0.484,0.77,0.245,0.47100000000000003,0.532,2,0,0,1,0,1,1,1,1
36848,Casablanca,Round of 16,Outdoor Clay,200,0.0,0.0,0.0,0.0,1994,1994-03-14,clay,31,44,66%,64%,44%,69,48%,110,67%,57%,50%,170,(1968.03.21),"Right-Handed, Unknown Backhand",0,0,0,0,141,0.354,0.33299999999999996,0.0,0.316,0.33299999999999996,0.0,0.39399999999999996,0.0,0.41200000000000003,0.2,0.259,0.381,0.34700000000000003,0.6759999999999999,0.153,0.309,0.6,0,0,0,0,0,0,0,0,94,93,60%,68%,47%,188,63%,278,49%,190,(1971.09.12),"Right-Handed, Two-Handed Backhand",0,0,0,0,117,0.539,0.5489999999999999,0.32799999999999996,0.552,0.327,0.313,0.503,0.706,0.588,0.5,0.5,0.39299999999999996,0.557,0.8009999999999999,0.23,0.552,0.455,5,0,0,4,0,1,0,5,1
35449,Metz,Round of 32,Indoor Hard,250,0.0,0.0,0.0,0.0,2010,2010-09-20,hard,102,41,62%,68%,51%,101,56%,177,75%,62%,46%,203,(1987.07.17),"Right-Handed, One-Handed Backhand",541,28,0,0,104,0.392,0.28,0.222,0.505,0.33299999999999996,0.0,0.409,0.28600000000000003,0.382,0.41200000000000003,0.395,0.429,0.37799999999999995,0.685,0.125,0.4,0.294,0,0,0,0,0,0,0,0,136,71,62%,70%,54%,193,60%,359,50%,165,(1982.05.01),"Right-Handed, One-Handed Backhand",915,25,0,0,50,0.599,0.648,0.5670000000000001,0.5539999999999999,0.196,0.522,0.614,0.773,0.664,0.545,0.556,0.47600000000000003,0.619,0.879,0.27399999999999997,0.59,0.657,12,0,1,11,0,1,1,11,1
10395,Melbourne,Round of 128,Outdoor Hard,grandslam,1.0,0.0,1.0,0.0,2010,2010-01-18,hard,120,44,63%,70%,53%,153,58%,308,79%,64%,50%,180,(1983.10.05),"Right-Handed, Two-Handed Backhand","1,128",26,0,0,37,0.48200000000000004,0.447,0.44,0.474,0.17600000000000002,0.28600000000000003,0.545,0.615,0.5,0.594,0.43799999999999994,0.4,0.49700000000000005,0.823,0.136,0.478,0.517,2,0,0,1,1,0,0,2,159,50,55%,75%,53%,104,55%,236,50%,170,(1984.03.24),"Right-Handed, One-Handed Backhand",839,20,0,0,57,0.451,0.4,0.467,0.5529999999999999,0.235,0.33299999999999996,0.493,0.5,0.37200000000000005,0.513,0.46,0.5,0.433,0.758,0.183,0.436,0.516,1,0,0,0,0,1,1,0,0
58047,London,Round of 32,Outdoor Grass,grandslam,0.7142857142857143,0.2857142857142857,1.0,0.0,2007,2007-06-25,grass,49,12,63%,76%,59%,33,67%,81,86%,70%,52%,190,(1977.11.25),"Right-Handed, Two-Handed Backhand","1,653",21,0,0,15,0.564,0.569,0.5429999999999999,0.506,0.4,0.43799999999999994,0.47100000000000003,0.522,0.5820000000000001,0.591,0.557,0.46799999999999997,0.579,0.8220000000000001,0.22699999999999998,0.552,0.629,7,0,1,4,0,3,0,7,47,8,58%,72%,62%,27,67%,82,53%,170,(1981.02.24),"Right-Handed, Two-Handed Backhand","1,365",19,0,0,21,0.7020000000000001,0.698,0.637,0.523,0.47100000000000003,0.652,0.6409999999999999,0.561,0.632,0.759,0.7020000000000001,0.69,0.703,0.87,0.39399999999999996,0.691,0.773,30,2,2,2,8,20,4,26,1
10591,Santiago,Round of 32,Outdoor Clay,200,0.0,0.0,0.0,0.0,1998,1998-11-09,clay,103,99,63%,67%,52%,294,57%,519,76%,62%,52%,156,(1968.10.24),"Left-Handed, Unknown Backhand","1,216",28,0,0,30,0.5329999999999999,0.47600000000000003,0.46,0.5,0.27399999999999997,0.5329999999999999,0.502,0.5379999999999999,0.5760000000000001,0.5,0.473,0.271,0.551,0.833,0.231,0.541,0.486,8,0,0,7,0,1,0,8,159,50,56%,73%,50%,103,55%,217,51%,176,(1976.11.14),"Right-Handed, Two-Handed Backhand",784,28,0,0,56,0.488,0.35700000000000004,0.391,0.446,0.091,0.0,0.547,0.6920000000000001,0.61,0.182,0.436,0.278,0.508,0.7859999999999999,0.204,0.46,0.48,0,0,0,0,0,0,0,0,0
