,tournament_name,round,surface_in_out,type_tournament,winner_ratio,looser_ratio,winner_surface_ratio,looser_surface_ratio,year,start_date,surface,aces_0,double_fautes_0,first_serve_0,first_serve_points_won_0,second_serve_points_won_0,break_point_faced_0,break_point_saved_0,service_games_played_0,service_games_won_0,total_services_points_won_0,total_points_won_0,weight_0,age_0,plays_0,points_0,tour_cell_0,point_dropping_0,next_best_0,ranking_0,overall_match_record_0,grand_slams_match_record_0,master1000_match_record_0,tie_break_pressure_point_0,versus_top10_pressure_point_0,finals_pressure_points_0,deciding_3rd_set_pressure_point_0,set_5_pressure_point_0,clay_environment_0,grass_environment_0,hard_environment_0,indoor_environment_0,outdoor_environment_0,afterwinning_1st_set_0,after_loosing_1st_set_0,vs_right_handers_0,vs_left_handers_0,overall_title_0,grandslams_title_0,master_1000_title_0,clay_title_0,grass_title_0,hard_title_0,indoor_title_0,outdoor_title_0,aces_1,double_fautes_1,first_serve_1,first_serve_points_won_1,second_serve_points_won_1,break_point_faced_1,break_point_saved_1,service_games_played_1,total_points_won_1,weight_1,age_1,plays_1,points_1,tour_cell_1,point_dropping_1,next_best_1,ranking_1,overall_match_record_1,grand_slams_match_record_1,master1000_match_record_1,tie_break_pressure_point_1,versus_top10_pressure_point_1,finals_pressure_points_1,deciding_3rd_set_pressure_point_1,set_5_pressure_point_1,clay_environment_1,grass_environment_1,hard_environment_1,indoor_environment_1,outdoor_environment_1,afterwinning_1st_set_1,after_loosing_1st_set_1,vs_right_handers_1,vs_left_handers_1,overall_title_1,grandslams_title_1,master_1000_title_1,clay_title_1,grass_title_1,hard_title_1,indoor_title_1,outdoor_title_1,Y
25495,Amsterdam,Round of 32,Outdoor Clay,200,0.0,0.0,0.0,0.0,1999,1999-08-02,clay,114,74,47%,72%,50%,161,65%,225,75%,60%,48%,165,(1969.12.18),"Right-Handed, Unknown Backhand",409,33,0,0,110,0.28600000000000003,0.125,0.0,0.455,0.33299999999999996,0.0,0.368,0.33299999999999996,0.341,0.0,0.14300000000000002,0.28600000000000003,0.28600000000000003,0.667,0.105,0.306,0.14300000000000002,0,0,0,0,0,0,0,0,117,48,63%,69%,49%,251,67%,362,52%,190,(1976.08.13),"Right-Handed, Two-Handed Backhand","2,284",23,0,0,8,0.518,0.47200000000000003,0.504,0.527,0.196,0.41700000000000004,0.578,0.644,0.562,0.36700000000000005,0.48200000000000004,0.444,0.529,0.8140000000000001,0.255,0.524,0.47100000000000003,5,0,0,3,0,1,1,4,1
55794,Dusseldorf,Qualification,Outdoor Clay,200,0.5,0.5,0.0,1.0,2007,2007-05-20,clay,62,35,64%,70%,47%,119,62%,191,76%,62%,51%,180,(1980.07.29),"Right-Handed, One-Handed Backhand","2,005",19,0,0,7,0.647,0.649,0.562,0.595,0.35100000000000003,0.47600000000000003,0.5870000000000001,0.517,0.7020000000000001,0.622,0.61,0.565,0.6609999999999999,0.863,0.303,0.652,0.6,11,0,0,8,0,2,1,10,77,124,57%,69%,50%,244,61%,389,51%,165,(1979.08.30),"Right-Handed, Two-Handed Backhand","1,425",21,0,0,20,0.541,0.523,0.45299999999999996,0.48100000000000004,0.24600000000000002,0.5,0.5379999999999999,0.43799999999999994,0.595,0.267,0.498,0.34700000000000003,0.5579999999999999,0.8390000000000001,0.249,0.547,0.488,6,0,0,6,0,0,0,6,1
71041,Indian Wells,Round of 64,Outdoor Hard,1000,1.0,0.0,0.0,0.0,2017,2017-03-09,hard,138,97,57%,70%,52%,207,60%,358,77%,62%,49%,172,(1981.12.15),"Right-Handed, Two-Handed Backhand","1,095",34,0,0,43,0.377,0.304,0.3,0.43700000000000006,0.0,0.25,0.467,0.364,0.42,0.2,0.363,0.46,0.36,0.727,0.165,0.37200000000000005,0.397,1,0,0,1,0,0,0,1,168,52,60%,74%,56%,116,65%,269,52%,179,(1985.03.28),"Right-Handed, One-Handed Backhand","3,150",15,0,0,9,0.635,0.725,0.589,0.536,0.375,0.5329999999999999,0.573,0.569,0.667,0.5,0.64,0.564,0.652,0.8420000000000001,0.33299999999999996,0.639,0.602,16,3,1,7,0,9,1,15,1
1619,Buenos Aires,Round of 16,Outdoor Clay,200,0.0,0.0,0.0,0.0,1994,1994-11-07,clay,123,98,65%,66%,51%,442,60%,702,75%,61%,52%,160,(1974.04.11),"Right-Handed, One-Handed Backhand",0,0,0,0,22,0.609,0.622,0.575,0.51,0.413,0.5670000000000001,0.604,0.609,0.664,0.364,0.564,0.44,0.629,0.835,0.293,0.597,0.675,17,0,2,10,0,6,3,14,56,48,52%,68%,47%,141,57%,195,49%,187,(1973.05.24),"Right-Handed, Unknown Backhand",0,0,0,0,88,0.456,0.314,0.444,0.496,0.29,0.33299999999999996,0.524,0.33299999999999996,0.528,0.33299999999999996,0.359,0.077,0.48700000000000004,0.836,0.153,0.475,0.379,2,0,0,2,0,0,0,2,0
67795,Indian Wells,Round of 64,Outdoor Hard,1000,0.0,0.0,0.0,0.0,2006,2006-03-06,hard,61,60,59%,69%,49%,122,52%,196,70%,61%,50%,165,(1978.07.26),"Right-Handed, One-Handed Backhand",424,35,0,0,101,0.312,0.25,0.43799999999999994,0.289,0.0,0.0,0.4,0.33299999999999996,0.2,0.222,0.34600000000000003,0.222,0.325,0.7,0.099,0.304,0.375,0,0,0,0,0,0,0,0,99,59,61%,72%,52%,147,59%,298,51%,174,(1986.06.18),"Right-Handed, One-Handed Backhand","1,365",25,0,0,18,0.627,0.6459999999999999,0.5760000000000001,0.5479999999999999,0.243,0.484,0.586,0.45799999999999996,0.624,0.6729999999999999,0.62,0.626,0.627,0.87,0.26899999999999996,0.625,0.635,15,0,0,3,3,8,7,8,1
59845,Cincinnati,Round of 64,Outdoor Hard,1000,0.5,0.5,1.0,0.0,2016,2016-08-14,hard,161,105,50%,73%,52%,191,55%,360,76%,63%,50%,181,(1985.06.17),"Right-Handed, Two-Handed Backhand","1,140",23,0,0,36,0.56,0.5539999999999999,0.446,0.544,0.293,0.28600000000000003,0.503,0.583,0.43200000000000005,0.579,0.574,0.62,0.5429999999999999,0.816,0.226,0.542,0.635,4,0,0,0,0,3,2,2,187,85,57%,74%,48%,130,59%,258,48%,194,(1990.06.23),"Right-Handed, Two-Handed Backhand",456,24,0,0,133,0.435,0.33299999999999996,0.413,0.46399999999999997,0.19399999999999998,0.0,0.42200000000000004,0.5,0.053,0.39,0.48200000000000004,0.507,0.406,0.752,0.141,0.444,0.33299999999999996,0,0,0,0,0,0,0,0,0
52733,New York,Round of 128,Outdoor Hard,grandslam,0.0,0.0,0.0,0.0,2002,2002-08-26,hard,432,118,55%,78%,52%,225,64%,474,83%,66%,52%,195,(1977.06.03),"Right-Handed, Unknown Backhand",825,27,0,0,42,0.506,0.446,0.529,0.47200000000000003,0.255,0.429,0.521,0.3,0.213,0.523,0.56,0.526,0.5,0.813,0.16899999999999998,0.49700000000000005,0.5660000000000001,3,0,0,0,0,3,0,3,21,28,52%,68%,45%,43,53%,57,43%,165,(1974.04.29),"Left-Handed, Unknown Backhand",329,29,0,0,121,0.233,0.33299999999999996,0.5,0.33299999999999996,0.0,0.0,0.3,1.0,0.14300000000000002,0.33299999999999996,0.188,0.2,0.237,0.5710000000000001,0.069,0.212,0.3,0,0,0,0,0,0,0,0,0
70698,Washington,Round of 16,Outdoor Hard,200,0.0,1.0,0.0,1.0,2001,2001-08-13,hard,430,134,54%,77%,51%,245,71%,448,84%,65%,52%,195,(1977.06.03),"Right-Handed, Unknown Backhand","1,215",25,0,0,21,0.506,0.446,0.529,0.47200000000000003,0.255,0.429,0.521,0.3,0.213,0.523,0.56,0.526,0.5,0.813,0.16899999999999998,0.49700000000000005,0.5660000000000001,3,0,0,0,0,3,0,3,129,112,62%,69%,52%,220,55%,422,51%,181,(1976.09.08),"Right-Handed, One-Handed Backhand","1,140",28,0,0,26,0.523,0.565,0.42700000000000005,0.485,0.221,0.75,0.503,0.462,0.486,0.605,0.523,0.528,0.522,0.794,0.20800000000000002,0.518,0.557,9,0,0,2,2,5,1,8,1
66517,Gstaad,Round of 16,Outdoor Clay,200,0.0,0.0,0.0,0.0,2005,2005-07-04,clay,87,41,61%,71%,45%,109,63%,166,76%,61%,49%,194,(1981.09.20),"Left-Handed, One-Handed Backhand",910,26,0,0,33,0.521,0.568,0.46,0.542,0.28600000000000003,0.389,0.5539999999999999,0.6859999999999999,0.49,0.653,0.507,0.466,0.534,0.799,0.245,0.516,0.562,7,0,0,1,4,2,1,6,39,31,75%,63%,49%,198,60%,264,50%,185,(1981.07.14),"Right-Handed, Two-Handed Backhand",408,30,0,0,105,0.456,0.214,0.304,0.48100000000000004,0.08,0.0,0.473,0.16699999999999998,0.529,0.083,0.311,0.4,0.46299999999999997,0.777,0.175,0.457,0.43799999999999994,0,0,0,0,0,0,0,0,1
73035,London,Round of 64,Outdoor Grass,200,0.0,0.0,0.0,0.0,2000,2000-06-12,grass,11,17,53%,71%,42%,24,54%,36,69%,57%,44%,180,(1979.06.14),"Right-Handed, One-Handed Backhand",372,25,0,0,109,0.5529999999999999,0.45299999999999996,0.457,0.555,0.182,0.455,0.534,0.462,0.222,0.535,0.597,0.616,0.535,0.836,0.20600000000000002,0.535,0.667,5,0,0,0,1,4,1,4,67,24,62%,81%,51%,20,55%,69,52%,200,(1970.07.08),"Right-Handed, Two-Handed Backhand",740,16,0,0,55,0.637,0.68,0.5710000000000001,0.5670000000000001,0.28600000000000003,0.4,0.552,0.59,0.578,0.726,0.645,0.628,0.6409999999999999,0.8440000000000001,0.304,0.616,0.752,8,0,0,2,1,5,3,5,1
